                      sourcefile                        sourceline                class                 count
------------------------------------------------------  ----------  ----------------------------------  -----
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                               4635
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                               4635
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                               4635
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                171  FFI::Pointer                         4500
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              52  String                               4200
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     138  Float                                1800
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                144  FFI::Pointer                         1318
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Array                                 717
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Ethon::Curl::Msg                      717
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        56  String                                600
typhoeus_test.rb                                                14  String                                600
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     108  FFI::Pointer                          600
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                                600
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          95  Array                                 600
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       9  Array                                 600
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                                600
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                159  FFI::MemoryPointer                    417
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                139  FFI::MemoryPointer                    417
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          90  Array                                 335
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          83  FFI::AutoPointer::CallableReleaser    335
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   27  Ethon::Easy::DebugInfo                315
<GEM:ethon-0.6.1>/lib/ethon/easy/debug_info.rb                  22  Array                                 315
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   25  String                                315
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   26  String                                315
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          41  Array                                 301
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          73  Array                                 301
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                      21  Ethon::Easy::Mirror                   300
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  Array                                 300
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          90  Array                                 300
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                146  Proc                                  300
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          98  Array                                 300
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  FFI::Pointer                          300
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                      17  Hash                                  300
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       8  Array                                 300
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   193  Hash                                  300
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   113  Hash                                  300
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   110  Hash                                  300
typhoeus_test.rb                                                14  Typhoeus::Request                     300
<GEM:ethon-0.6.1>/lib/ethon/easy/form.rb                        26  Hash                                  300
<GEM:ethon-0.6.1>/lib/ethon/easy/params.rb                      24  Hash                                  300
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      56  String                                300
<GEM:ethon-0.6.1>/lib/ethon/easy/util.rb                        20  String                                300
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      27  FFI::Pointer                          300
