                      sourcefile                        sourceline                class                 count
------------------------------------------------------  ----------  ----------------------------------  -----
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                171  FFI::Pointer                         3204
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              52  String                               2302
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                               1545
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                               1545
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                               1545
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     138  Float                                 600
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Array                                 580
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Ethon::Curl::Msg                      580
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                159  FFI::MemoryPointer                    480
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                139  FFI::MemoryPointer                    480
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       9  Array                                 200
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                                200
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     108  FFI::Pointer                          200
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          93  Array                                 200
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                                200
typhoeus_test.rb                                                13  String                                200
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        56  String                                200
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                144  FFI::Pointer                          140
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          83  FFI::AutoPointer::CallableReleaser    125
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          90  Array                                 125
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   26  String                                105
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   27  Ethon::Easy::DebugInfo                105
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   25  String                                105
<GEM:ethon-0.6.1>/lib/ethon/easy/debug_info.rb                  22  Array                                 105
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          41  Array                                 101
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          57  Array                                 101
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  Method                                100
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               89  Typhoeus::Response                    100
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      27  FFI::Pointer                          100
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  FFI::Pointer                          100
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                146  Proc                                  100
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                      17  Hash                                  100
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                       8  Array                                 100
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          90  Array                                 100
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          98  Array                                 100
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                      21  Ethon::Easy::Mirror                   100
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  FFI::AutoPointer                      100
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  RubyVM::Env                           100
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  Proc                                  100
<GEM:ethon-0.6.1>/lib/ethon/easy/response_callbacks.rb          32  Array                                 100
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               67  Hash                                  100
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               69  Array                                 100
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               99  Hash                                  100
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/addable.rb              19  Typhoeus::EasyFactory                 100
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  Array                                 100
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        59  Ethon::Easy::Http::Get                100
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             22  Hash                                  100
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   193  Hash                                  100
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   113  Hash                                  100
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   110  Hash                                  100
typhoeus_test.rb                                                13  Typhoeus::Request                     100
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  Ethon::Curl::MsgData                  100
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             52  Ethon::Easy::Params                   100
<GEM:ethon-0.6.1>/lib/ethon/easy/params.rb                      24  Hash                                  100
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             62  Ethon::Easy::Form                     100
<GEM:ethon-0.6.1>/lib/ethon/easy/form.rb                        26  Hash                                  100
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                               75  FFI::Pointer                          100
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      56  String                                100
<GEM:ethon-0.6.1>/lib/ethon/easy/util.rb                        20  String                                100
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                146  RubyVM::Env                            45
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                                  40
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Ethon::Curl::FDSet                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Ethon::Curl::Timeval                   20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 26  FFI::MemoryPointer                     20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/memoizable.rb           21  Hash                                   20
<GEM:ethon-0.6.1>/lib/ethon/multi/stack.rb                      14  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::Pointer                           20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  Method                                 20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::AutoPointer                       20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 31  FFI::MemoryPointer                     20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Ethon::Multi                           20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Hash                                   20
