                      sourcefile                        sourceline                class                 count
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  Ethon::Curl::FDSet                     20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Hash                                   20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Ethon::Curl::FDSet                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 31  FFI::MemoryPointer                     20
<GEM:ethon-0.6.1>/lib/ethon/multi/stack.rb                      14  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::Pointer                           20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  Method                                 20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/queueable.rb            17  Array                                  20
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::AutoPointer                       20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      89  Hash                                   20
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/memoizable.rb           21  Hash                                   20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  RubyVM::Env                            10
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  Proc                                   10
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       32  Ethon::Easy                            10
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            216  Hash                                   10
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  RubyVM::Env                            10
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  Proc                                   10
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::Pointer                           10
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  Method                                 10
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::AutoPointer                       10
