                      sourcefile                        sourceline                class                 count
------------------------------------------------------  ----------  ----------------------------------  -----
<PWD>/helpers/reader.rb                                         21  String                              32960
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                                120
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   25  String                                 80
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   26  String                                 80
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   27  Ethon::Easy::DebugInfo                 80
<GEM:ethon-0.6.1>/lib/ethon/easy/debug_info.rb                  22  Array                                  80
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          41  Array                                  61
<GEM:typhoeus-0.6.6>/lib/typhoeus/request/callbacks.rb          73  Array                                  61
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   113  Hash                                   60
<PWD>/crawler.rb                                                46  Hash                                   60
<PWD>/crawler.rb                                                45  Typhoeus::Request                      60
<PWD>/crawler.rb                                                47  Hash                                   60
<PWD>/crawler.rb                                                77  Proc                                   60
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               89  Typhoeus::Response                     60
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   191  Hash                                   60
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                      17  Hash                                   60
<PWD>/crawler.rb                                                77  RubyVM::Env                            60
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  FFI::Function                          60
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          83  FFI::AutoPointer::CallableReleaser     42
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          90  Array                                  42
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  Method                                 21
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      27  FFI::Pointer                           21
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  Proc                                   20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  RubyVM::Env                            20
