                        sourcefile                           sourceline                         class                          count
-----------------------------------------------------------  ----------  ----------------------------------------------------  -----
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      31  FFI::MemoryPointer                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      30  FFI::MemoryPointer                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      30  Array                                                     1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      30  Ethon::Curl::FDSet                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      29  FFI::MemoryPointer                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      29  Array                                                     1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      29  Ethon::Curl::FDSet                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      28  FFI::MemoryPointer                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      28  Array                                                     1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      28  Ethon::Curl::FDSet                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      27  FFI::MemoryPointer                                        1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      27  Array                                                     1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      27  Ethon::Curl::Timeval                                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                      26  FFI::MemoryPointer                                        1
<GEM:ethon-0.6.1>/lib/ethon/curl.rb                                  62  String                                                    1
<RUBYLIBDIR>/monitor.rb                                             241  Mutex                                                     1
<RUBYLIBDIR>/logger.rb                                              545  Array                                                     1
<RUBYLIBDIR>/logger.rb                                              545  Logger::LogDevice::LogDeviceMutex                         1
<RUBYLIBDIR>/logger.rb                                              318  Logger::LogDevice                                         1
<RUBYLIBDIR>/logger.rb                                              318  Hash                                                      1
<RUBYLIBDIR>/logger.rb                                              314  Logger::Formatter                                         1
<GEM:ethon-0.6.1>/lib/ethon/loggable.rb                              42  Logger                                                    1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                           92  Ethon::Multi                                              1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                           92  Hash                                                      1
<PWD>/crawler.rb                                                     23  Typhoeus::Hydra                                           1
<PWD>/crawler.rb                                                     23  Hash                                                      1
