                      sourcefile                        sourceline                class                 count
------------------------------------------------------  ----------  ----------------------------------  -----
<PWD>/helpers/reader.rb                                         21  String                              65920
<PWD>/helpers/reader.rb                                         19  String                              32960
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    11  String                                144
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  String                                144
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    10  String                                144
<PWD>/helpers/debug.rb                                          10  String                                 52
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            234  String                                 48
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Ethon::Curl::Msg                       44
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                141  Array                                  44
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                159  FFI::MemoryPointer                     42
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                139  FFI::MemoryPointer                     42
<PWD>/helpers/debug.rb                                          11  String                                 26
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               99  Hash                                   24
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               69  Array                                  24
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                171  FFI::Pointer                           24
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              52  String                                 22
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    76  Bignum                                 18
<RUBYLIBDIR>/benchmark.rb                                      492  String                                 14
<RUBYLIBDIR>/benchmark.rb                                      487  String                                 14
<RUBYLIBDIR>/benchmark.rb                                      491  String                                 14
<RUBYLIBDIR>/benchmark.rb                                      488  String                                 14
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        56  String                                 12
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          90  Array                                   7
<GEM:ffi-1.9.3>/lib/ffi/autopointer.rb                          83  FFI::AutoPointer::CallableReleaser      7
<GEM:ethon-0.6.1>/lib/ethon/easy/http.rb                        59  Ethon::Easy::Http::Get                  6
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  RubyVM::Env                             6
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  Proc                                    6
<GEM:ethon-0.6.1>/lib/ethon/easy/response_callbacks.rb          32  Array                                   6
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  Method                                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             62  Ethon::Easy::Form                       6
<PWD>/crawler.rb                                               179  String                                  6
<PWD>/crawler.rb                                               144  String                                  6
<PWD>/crawler.rb                                               143  String                                  6
<PWD>/crawler.rb                                               141  String                                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/form.rb                        26  Hash                                    6
runner.rb                                                       23  String                                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   25  String                                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   26  String                                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   27  Ethon::Easy::DebugInfo                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/debug_info.rb                  22  Array                                   6
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      56  String                                  6
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               67  Hash                                    6
<GEM:ethon-0.6.1>/lib/ethon/easy/params.rb                      24  Hash                                    6
<PWD>/crawler.rb                                               155  String                                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/util.rb                        20  String                                  6
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  FFI::AutoPointer                        6
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             22  Hash                                    6
<GEM:ethon-0.6.1>/lib/ethon/easy/http/actionable.rb             52  Ethon::Easy::Params                     6
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      27  FFI::Pointer                            6
runner.rb                                                       30  String                                  6
