                      sourcefile                        sourceline                class                         method_id           memsize  count
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   191  Hash                                merge                           192  10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   191  Hash                                set_defaults                    192  10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   113  Hash                                dup                             192  10001
<PWD>/crawler.rb                                                44  Typhoeus::Request                   new                              56  10001
<PWD>/crawler.rb                                                45  Hash                                request                         192  10001
<PWD>/crawler.rb                                                46  Hash                                request                         192  10001
<GEM:ethon-0.6.1>/lib/ethon/easy/util.rb                        20  String                              chr                               0  10001
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      27  FFI::Pointer                        slist_append                      0  10001
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                144  FFI::Pointer                        []                                0  10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               89  Typhoeus::Response                  new                               0  10001
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                              get_string                       77   9687
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      56  String                              compose_header                   99   6193
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      56  String                              compose_header                  199   3808
<PWD>/helpers/reader.rb                                         21  String                              strip                            79   2764
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                159  FFI::MemoryPointer                  new                               0    501
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                146  RubyVM::Env                         check                           112    501
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                139  FFI::MemoryPointer                  new                               0    501
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                              54  String                              get_string                       78    314
runner.rb                                                       23  String                              to_s                              0    303
<RUBYLIBDIR>/benchmark.rb                                      487  String                              gsub!                             0    202
<PWD>/crawler.rb                                               181  String                              run_parallel_strategy             0    202
<PWD>/crawler.rb                                               144  String                              run                               0    202
<PWD>/crawler.rb                                               143  String                              run                               0    202
<RUBYLIBDIR>/benchmark.rb                                      487  String                              format                            0    202
<RUBYLIBDIR>/benchmark.rb                                      487  String                              %                                 0    202
<RUBYLIBDIR>/benchmark.rb                                      487  MatchData                           gsub!                           240    202
<PWD>/crawler.rb                                               141  String                              run                               0    202
<RUBYLIBDIR>/benchmark.rb                                      488  String                              gsub!                             0    202
<RUBYLIBDIR>/benchmark.rb                                      488  String                              format                            0    202
<RUBYLIBDIR>/benchmark.rb                                      488  String                              %                                 0    202
<RUBYLIBDIR>/benchmark.rb                                      492  String                              format                            0    202
<PWD>/crawler.rb                                               155  String                              run                               0    202
<RUBYLIBDIR>/benchmark.rb                                      491  String                              gsub!                             0    202
<RUBYLIBDIR>/benchmark.rb                                      491  String                              format                            0    202
<RUBYLIBDIR>/benchmark.rb                                      491  String                              %                                 0    202
<RUBYLIBDIR>/benchmark.rb                                      491  MatchData                           gsub!                           240    202
<RUBYLIBDIR>/benchmark.rb                                      492  String                              %                                 0    202
<RUBYLIBDIR>/benchmark.rb                                      492  String                              gsub!                             0    202
runner.rb                                                       30  String                              to_s                              0    202
<RUBYLIBDIR>/benchmark.rb                                      492  String                              gsub!                           129    102
<RUBYLIBDIR>/benchmark.rb                                      491  String                              gsub!                           129    102
