                      sourcefile                        sourceline                class                         method_id           count
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb               88  RubyVM::Env                         set_callback                10001
<GEM:ethon-0.6.1>/lib/ethon/easy/header.rb                      31  FFI::AutoPointer                    new                         10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/addable.rb              19  Typhoeus::EasyFactory               new                         10001
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                   191  Hash                                merge                       10001
<PWD>/crawler.rb                                                76  RubyVM::Env                         queue                       10001
<PWD>/crawler.rb                                                76  Proc                                queue                       10001
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                159  FFI::MemoryPointer                  new                           501
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                139  FFI::MemoryPointer                  new                           501
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                146  RubyVM::Env                         check                         501
<RUBYLIBDIR>/benchmark.rb                                      492  String                              gsub!                         304
<RUBYLIBDIR>/benchmark.rb                                      491  String                              gsub!                         304
<RUBYLIBDIR>/benchmark.rb                                      488  String                              gsub!                         304
<RUBYLIBDIR>/benchmark.rb                                      487  String                              gsub!                         304
runner.rb                                                       23  String                              to_s                          303
<RUBYLIBDIR>/benchmark.rb                                      487  MatchData                           gsub!                         202
<RUBYLIBDIR>/benchmark.rb                                      487  String                              format                        202
runner.rb                                                       30  String                              to_s                          202
<RUBYLIBDIR>/benchmark.rb                                      487  String                              %                             202
<PWD>/crawler.rb                                               143  String                              run                           202
<PWD>/crawler.rb                                               155  String                              run                           202
<PWD>/crawler.rb                                               141  String                              run                           202
<RUBYLIBDIR>/benchmark.rb                                      488  String                              format                        202
<RUBYLIBDIR>/benchmark.rb                                      492  String                              %                             202
<RUBYLIBDIR>/benchmark.rb                                      492  String                              format                        202
<PWD>/crawler.rb                                               179  String                              run_parallel_strategy         202
<RUBYLIBDIR>/benchmark.rb                                      491  MatchData                           gsub!                         202
<RUBYLIBDIR>/benchmark.rb                                      491  String                              %                             202
<RUBYLIBDIR>/benchmark.rb                                      491  String                              format                        202
<PWD>/crawler.rb                                               144  String                              run                           202
<RUBYLIBDIR>/benchmark.rb                                      488  String                              %                             202
<RUBYLIBDIR>/benchmark.rb                                      280  Process::Tms                        times                         101
<RUBYLIBDIR>/benchmark.rb                                      492  MatchData                           gsub!                         101
<PWD>/crawler.rb                                               146  String                              write                         101
<PWD>/crawler.rb                                               155  String                              basename                      101
<PWD>/crawler.rb                                               155  Array                               run                           101
runner.rb                                                       30  String                              run_in_batches                101
runner.rb                                                       30  String                              write                         101
<PWD>/crawler.rb                                               143  Array                               run                           101
runner.rb                                                       23  String                              run_in_batches                101
<PWD>/crawler.rb                                               144  String                              basename                      101
<PWD>/crawler.rb                                               144  Array                               run                           101
runner.rb                                                       25  Array                               []                            101
<RUBYLIBDIR>/benchmark.rb                                      277  String                              measure                       101
<RUBYLIBDIR>/benchmark.rb                                      485  String                              dup                           101
<RUBYLIBDIR>/benchmark.rb                                      500  Array                               to_s                          101
<RUBYLIBDIR>/benchmark.rb                                      281  Benchmark::Tms                      new                           101
<RUBYLIBDIR>/benchmark.rb                                      280  Time                                now                           101
<RUBYLIBDIR>/benchmark.rb                                      278  Process::Tms                        times                         101
<RUBYLIBDIR>/benchmark.rb                                      278  Time                                now                           101
<PWD>/crawler.rb                                               147  String                              run                           101
runner.rb                                                       23  String                              write                         101
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                               pop                           101
<PWD>/crawler.rb                                               179  String                              basename                      101
<PWD>/crawler.rb                                               179  Array                               run_parallel_strategy         101
runner.rb                                                       25  Range                               run_in_batches                101
<RUBYLIBDIR>/benchmark.rb                                      488  MatchData                           gsub!                         101
<PWD>/crawler.rb                                               141  String                              basename                      101
<PWD>/crawler.rb                                               141  Array                               run                           101
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                               map                           101
<PWD>/crawler.rb                                               143  String                              basename                      101
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  FFI::Function                       easy_setopt_callback           40
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   50  RubyVM::Env                         proc                           20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  Proc                                proc                           20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::Pointer                        easy_init                      20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  Method                              method                         20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::AutoPointer                    new                            20
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            216  Hash                                initialize                     20
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       32  Ethon::Easy                         new                            20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  RubyVM::Env                         proc                           20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  Proc                                proc                           20
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  FFI::Function                       easy_setopt_debug_callback     20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  RubyVM::Env                         proc                           20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   50  Proc                                proc                           20
<PWD>/crawler.rb                                                21  String                              initialize                      2
<PWD>/helpers/reader.rb                                         13  String                              open                            2
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  FFI::MemoryPointer                  initialize                      1
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  Thread                              easy_setopt_callback            1
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  Hash                                easy_setopt_callback            1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/queueable.rb            17  Array                               queued_requests                 1
runner.rb                                                       13  Array                               []                              1
<PWD>/helpers/reader.rb                                         20  Array                               map                             1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::AutoPointer                    new                             1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  Method                              method                          1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::Pointer                        multi_init                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/stack.rb                      14  Array                               easy_handles                    1
runner.rb                                                       43  String                                                              1
runner.rb                                                       43  Hash                                                                1
runner.rb                                                       43  Runner                              new                             1
runner.rb                                                        8  Hash                                initialize                      1
runner.rb                                                        8  YelpSync                            new                             1
<PWD>/crawler.rb                                                 9  String                              initialize                      1
<PWD>/crawler.rb                                                11  String                              initialize                      1
<PWD>/crawler.rb                                                11  Hash                                initialize                      1
<PWD>/crawler.rb                                                12  String                              initialize                      1
<PWD>/crawler.rb                                                12  Hash                                initialize                      1
<PWD>/crawler.rb                                                 9  Hash                                initialize                      1
<PWD>/crawler.rb                                                15  DebugHelper                         new                             1
<PWD>/crawler.rb                                                17  String                              initialize                      1
<PWD>/crawler.rb                                                17  Hash                                initialize                      1
<PWD>/crawler.rb                                                17  Reader                              new                             1
<PWD>/helpers/reader.rb                                          8  String                              initialize                      1
<PWD>/helpers/reader.rb                                          9  DebugHelper                         new                             1
<GEM:typhoeus-0.6.6>/lib/typhoeus.rb                            98  Array                               before                          1
<PWD>/crawler.rb                                                21  Hash                                initialize                      1
<PWD>/crawler.rb                                                21  Writer                              new                             1
<PWD>/helpers/writer.rb                                          9  DebugHelper                         new                             1
<PWD>/crawler.rb                                                23  Hash                                core#hash_from_ary              1
<PWD>/crawler.rb                                                23  Typhoeus::Hydra                     new                             1
<PWD>/overrides/typhoeus.rb                                      7  Array                               processing_requests             1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     149  FFI::MemoryPointer                  new                             1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     169  FFI::MemoryPointer                  new                             1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     159  FFI::MemoryPointer                  new                             1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Hash                                reject                          1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Ethon::Multi                        new                             1
<GEM:ethon-0.6.1>/lib/ethon/loggable.rb                         42  Logger                              new                             1
<RUBYLIBDIR>/logger.rb                                         314  Logger::Formatter                   new                             1
<RUBYLIBDIR>/logger.rb                                         318  Hash                                initialize                      1
<RUBYLIBDIR>/logger.rb                                         318  Logger::LogDevice                   new                             1
<RUBYLIBDIR>/logger.rb                                         545  Logger::LogDevice::LogDeviceMutex   new                             1
<RUBYLIBDIR>/logger.rb                                         545  Array                               new                             1
<RUBYLIBDIR>/monitor.rb                                        241  Mutex                               new                             1
<GEM:ethon-0.6.1>/lib/ethon/curl.rb                             62  String                              init                            1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 26  FFI::MemoryPointer                  new                             1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Ethon::Curl::Timeval                new                             1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Array                               initialize                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  FFI::MemoryPointer                  initialize                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Ethon::Curl::FDSet                  new                             1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Array                               initialize                      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       55  Array                               easies                          1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  Ethon::Curl::FDSet                  new                             1
<RUBYLIBDIR>/benchmark.rb                                      490  String                              gsub!                           1
<RUBYLIBDIR>/benchmark.rb                                      489  String                              gsub!                           1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  Array                               initialize                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  FFI::MemoryPointer                  initialize                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Ethon::Curl::FDSet                  new                             1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Array                               initialize                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  FFI::MemoryPointer                  initialize                      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 31  FFI::MemoryPointer                  new                             1
<PWD>/crawler.rb                                                28  Hash                                initialize                      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/expectation.rb                61  Array                               all                             1
<RUBYLIBDIR>/benchmark.rb                                      486  String                              gsub!                           1
<PWD>/helpers/reader.rb                                         13  String                              basename                        1
<PWD>/helpers/reader.rb                                         13  Array                               open                            1
<PWD>/crawler.rb                                               146  Hash                                puts                            1
<PWD>/helpers/reader.rb                                         14  File                                open                            1
<PWD>/helpers/reader.rb                                         14  String                              initialize                      1
<PWD>/helpers/reader.rb                                         19  Array                               readlines                       1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/memoizable.rb           21  Hash                                memory                          1
