                        sourcefile                                                  class                          count
<RUBYLIBDIR>/benchmark.rb                                    Time                                                      2
<RUBYLIBDIR>/benchmark.rb                                    Process::Tms                                              2
<RUBYLIBDIR>/benchmark.rb                                    String                                                   37
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb              Ethon::Curl::Msg                                      29871
<GEM:ffi-1.9.3>/lib/ffi/pointer.rb                           String                                                  620
<GEM:typhoeus-0.6.6>/lib/typhoeus/request.rb                 Typhoeus::EasyFactory                                    22
<GEM:typhoeus-0.6.6>/lib/typhoeus/easy_factory.rb            Typhoeus::Response                                       11
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                   Ethon::Easy::Mirror                                      11
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                   FFI::Pointer                                             22
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                   FFI::MemoryPointer                                        3
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                   Array                                                    33
<GEM:ethon-0.6.1>/lib/ethon/easy/mirror.rb                   Hash                                                     11
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb              Proc                                                     11
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb              RubyVM::Env                                               9
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                            Array                                                    11
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                            Ethon::Curl::MsgData                                     11
<GEM:ffi-1.9.3>/lib/ffi/struct.rb                            FFI::Pointer                                             11
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/sax/push_parser.rb     String                                                106987
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/sax/push_parser.rb     Array                                                 44867
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           String                                                27801
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           Hash                                                     22
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/sax/push_parser.rb    Nokogiri::HTML::SAX::Parser                              11
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/sax/push_parser.rb    String                                                   11
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           Nokogiri::HTML::SAX::PushParser                          11
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           Nokogiri::HTML::Document::EncodingReader::SAXHandler     11
<GEM:nokogiri-1.6.1>/lib/nokogiri/version.rb                 String                                                   22
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           Nokogiri::XML::ParseOptions                              11
<RUBYLIBDIR>/cgi/core.rb                                     Array                                                   121
<RUBYLIBDIR>/cgi/core.rb                                     String                                                  188
<RUBYLIBDIR>/cgi/util.rb                                     String                                                  331
<RUBYLIBDIR>/cgi/core.rb                                     MatchData                                                11
<RUBYLIBDIR>/cgi/core.rb                                     Hash                                                     11
<RUBYLIBDIR>/uri/generic.rb                                  Array                                                    22
<RUBYLIBDIR>/uri/generic.rb                                  String                                                   11
<RUBYLIBDIR>/uri/common.rb                                   Array                                                    44
<RUBYLIBDIR>/uri/common.rb                                   URI::HTTP                                                11
<RUBYLIBDIR>/uri/common.rb                                   String                                                   78
<RUBYLIBDIR>/uri/common.rb                                   MatchData                                                11
<PWD>/crawler.rb                                             MatchData                                              1907
<GEM:nokogiri-1.6.1>/lib/nokogiri/css.rb                     Nokogiri::CSS::Parser                                  7595
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Hash                                                  15190
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Array                                                 170672
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                String                                                15179
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node_set.rb            Nokogiri::XML::Element                                23266
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Nokogiri::XML::NodeSet                                25173
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Nokogiri::XML::XPathContext                            7595
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/parser_extras.rb       String                                                15195
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/node.rb                String                                                   50
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/xpath_visitor.rb       String                                                   24
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/node.rb                Array                                                   301
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/parser_extras.rb       Array                                                    10
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/parser.rb              Array                                                    20
<RUBYLIBDIR>/racc/parser.rb                                  Array                                                    33
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/parser.rb              Nokogiri::CSS::Node                                      15
<RUBYLIBDIR>/racc/parser.rb                                  String                                                    7
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/tokenizer.rb           Array                                                    15
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/tokenizer.rb           String                                                   71
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/parser.rb              String                                                    6
<RUBYLIBDIR>/racc/parser.rb                                  Racc::CparseParams                                        5
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/tokenizer.rb           StringScanner                                             5
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/parser_extras.rb       Nokogiri::CSS::XPathVisitor                               5
<GEM:nokogiri-1.6.1>/lib/nokogiri/css/parser_extras.rb       Nokogiri::CSS::Tokenizer                               7595
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/document.rb            String                                                   11
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Nokogiri::XML::Element                                 1907
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/document.rb            Array                                                    11
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           Array                                                    33
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           Nokogiri::HTML::Document                                 11
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document.rb           Nokogiri::XML::SyntaxError                             1001
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/sax/push_parser.rb     Thread::Backtrace                                        11
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/sax/push_parser.rb     Nokogiri::XML::SyntaxError                               11
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node_set.rb            String                                                17064
